,uttr_num,ID,file_path,length,label,spk_ID
0,0,0,preprocess/dummy_database/audio_data_words/spk1-w1.wav,1,0,spk1
1,1,0,preprocess/dummy_database/audio_data_words/spk1-w2.wav,1,0,spk1
2,2,1,preprocess/dummy_database/audio_data_words/spk2-w1.wav,1,0,spk2
3,3,1,preprocess/dummy_database/audio_data_words/spk2-w2.wav,1,0,spk2
4,4,2,preprocess/dummy_database/audio_data_words/spk3-w1.wav,1,0,spk3
5,5,2,preprocess/dummy_database/audio_data_words/spk3-w2.wav,1,0,spk3
6,6,3,preprocess/dummy_database/audio_data_words/spk4-w1.wav,1,1,spk4
7,7,3,preprocess/dummy_database/audio_data_words/spk4-w2.wav,1,1,spk4
8,8,4,preprocess/dummy_database/audio_data_words/spk5-w1.wav,1,1,spk5
9,9,4,preprocess/dummy_database/audio_data_words/spk5-w2.wav,1,1,spk5
10,10,5,preprocess/dummy_database/audio_data_words/spk6-w1.wav,1,1,spk6
11,11,5,preprocess/dummy_database/audio_data_words/spk6-w2.wav,1,1,spk6
